Player Name,Age,Position,Acceleration,Aggression,Agility,Balance,Ball Control,Crossing,Dribbling,Finishing,GK Diving,GK Handling,GK Reflexes,Heading Accuracy,Interceptions,Long Passing,Long Shots,Marking,Positioning,Reactions,Short Passing,Shotpower,Sliding Tackle,Sprint Speed,Standing Tackle,Stamina,Strength,Vision,Volleys
Miguel Angel Moya,33,GK,46,22,54,49,24,11,13,11,85,78,79,12,11,35,16,13,10,75,31,21,14,34,14,30,57,62,13
Jan Oblak,24,GK,43,44,67,49,16,13,12,11,83,90,82,15,19,26,12,14,11,84,29,22,18,60,12,41,78,55,13
Andre Moreira,21,GK,47,27,35,45,17,14,12,15,65,76,73,12,19,25,17,12,13,64,24,22,21,49,17,42,73,49,12
Diego Godin,31,CB,62,86,63,58,76,55,53,42,6,8,15,92,88,70,43,87,48,85,79,67,89,67,86,69,80,52,47
Filipe Luis,31,FB,77,81,74,60,81,84,77,59,11,15,5,68,82,77,60,85,71,83,78,71,86,83,83,91,74,70,56
Stefan Savic,26,CB,60,83,60,54,66,35,47,34,14,13,12,81,84,69,31,85,29,78,67,43,84,65,82,62,77,41,27
Sime Vrsaljko,25,FB,79,66,67,79,75,82,71,44,15,11,12,69,77,68,58,78,65,76,74,75,76,82,78,91,73,68,53
Lucas Hernandez,21,CB,66,77,69,61,65,57,46,36,10,7,10,75,75,58,47,74,27,63,67,62,79,65,76,61,70,33,23
Juanfran,32,FB,78,78,75,62,79,83,77,54,11,14,7,53,78,66,53,82,68,82,74,68,80,89,84,92,74,72,49
Jose Maria Gimenez,22,CB,68,89,57,51,56,47,47,37,9,11,15,78,83,58,48,85,24,76,68,72,87,70,86,70,86,27,30
Tiago,36,CM,54,83,60,56,84,61,72,62,6,8,14,75,71,83,75,53,74,79,84,79,69,55,79,67,76,82,67
Koke,25,CM,74,68,77,78,86,84,80,71,14,12,13,62,58,87,81,50,80,84,85,84,51,69,57,81,75,89,56
Saul Niguez,22,CM,74,66,75,68,82,69,81,67,7,13,9,83,78,78,62,69,77,82,85,74,77,73,81,81,76,73,30
Yannick Carrasco,23,WG,87,61,91,71,82,80,85,72,9,11,10,53,13,72,75,19,77,78,77,84,26,89,39,74,59,74,68
Augusto Fernandez,31,CM,67,80,75,75,82,70,78,69,9,13,9,59,77,81,73,57,78,85,82,74,64,71,76,79,73,82,57
Gabi,33,CM,62,82,73,73,79,67,74,67,6,12,10,51,82,84,76,70,72,80,85,81,74,63,78,79,69,79,64
Alessio Cerci,29,WG,78,62,80,72,81,80,82,69,8,7,11,80,75,74,63,70,75,82,84,70,73,73,78,79,75,72,59
Thomas,22,CM,59,72,69,58,77,64,70,65,6,9,10,63,55,59,70,58,66,67,75,75,68,65,64,60,71,65,40
Nicolas Gaitan,29,WG,85,57,89,81,86,86,87,73,8,11,5,54,40,78,74,30,79,84,84,72,43,80,42,71,50,85,81
Caio Henrique,19,CM,67,39,68,73,69,47,64,52,11,15,8,44,29,70,60,31,56,60,72,55,40,56,44,34,31,71,43
Antoine Griezmann,26,FW,87,69,90,80,86,82,87,88,14,8,14,80,35,75,82,23,91,90,79,81,11,86,22,75,61,76,87
Fernando Torres,33,FW,76,62,74,54,81,68,82,77,14,13,10,76,20,51,73,17,82,73,78,83,18,78,22,63,76,76,81
Angel Correa,22,FW,86,41,87,83,85,64,87,81,13,10,16,61,45,56,82,46,79,82,65,78,44,80,51,69,59,69,77
Kevin Gameiro,29,FW,80,66,83,77,81,70,77,87,6,10,6,67,38,71,78,23,87,85,79,84,38,78,34,70,64,76,79
Nicolas Schiappacasse,18,FW,68,57,72,66,73,59,62,62,7,9,12,58,22,54,61,20,70,61,63,72,15,65,23,64,56,49,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
