Player Name,Age,Position,Acceleration,Aggression,Agility,Balance,Ball Control,Crossing,Dribbling,Finishing,GK Diving,GK Handling,GK Reflexes,Heading Accuracy,Interceptions,Long Passing,Long Shots,Marking,Positioning,Reactions,Short Passing,Shotpower,Sliding Tackle,Sprint Speed,Standing Tackle,Stamina,Strength,Vision,Volleys
Marc-Andre Ter Stegen,24,GK,38,43,37,43,18,15,17,14,84,81,85,10,22,38,10,10,11,80,30,22,10,50,13,35,79,57,14
Jasper Cillessen,27,GK,54,25,48,50,32,17,12,10,79,83,77,12,25,33,15,18,11,78,47,35,11,50,12,40,67,60,19
Jordi Masip,27,GK,55,15,70,63,19,14,13,12,68,68,75,13,20,27,13,14,19,68,34,25,12,65,13,41,45,55,19
Gerard Pique,29,CB,54,68,58,44,76,57,59,64,10,11,8,82,88,80,51,86,58,81,83,62,84,67,87,69,83,62,57
Javier Mascherano,32,CB,67,89,71,78,82,63,58,42,6,10,5,68,92,75,55,84,51,83,79,76,85,65,87,86,74,68,51
Jordi Alba,27,FB,93,75,90,86,84,83,80,73,13,15,13,63,83,70,66,81,77,82,79,64,83,93,84,90,66,68,60
Lucas Digne,23,FB,79,75,70,78,79,78,73,52,6,12,13,64,77,69,69,74,67,76,80,77,81,80,77,79,68,72,45
Sergi Roberto,24,FB,77,64,69,74,80,81,74,65,14,16,10,49,74,77,70,62,69,73,85,68,67,74,74,79,75,83,46
Aleix Vidal,27,FB,89,80,78,77,82,75,81,67,8,7,12,58,73,64,59,68,66,78,78,84,73,93,69,76,68,70,48
Samuel Umtiti,22,CB,74,79,68,66,73,69,69,51,15,10,15,72,86,71,74,80,58,75,78,83,83,75,85,80,76,56,70
Jeremy Mathieu,32,CB,67,81,51,39,64,79,44,51,13,14,5,83,84,76,74,82,48,76,66,79,75,75,85,64,90,42,68
Nili Perdomo,23,FB,74,59,78,72,71,70,72,46,11,8,9,57,69,57,30,64,67,68,68,42,68,79,62,64,61,49,29
Marlon,21,CB,55,72,54,59,61,43,59,40,8,15,12,68,76,68,36,71,36,64,67,61,73,63,70,67,80,43,33
Ivan Rakitic,28,CM,67,67,71,66,87,81,84,83,14,11,9,49,69,92,88,52,80,79,87,84,53,65,65,76,63,87,80
Sergio Busquets,28,CM,53,86,58,55,82,62,74,60,5,8,13,68,87,79,54,83,77,83,89,61,80,33,86,88,77,85,44
Denis Suarez,23,CM,78,47,79,76,85,78,84,69,10,14,7,44,48,72,73,37,72,75,84,75,42,77,46,69,55,83,68
Arda Turan,29,WG,78,80,86,77,88,82,87,72,11,7,11,70,61,81,77,54,82,81,85,73,65,68,63,74,70,86,80
Andres Iniesta,32,CM,74,58,82,86,93,79,90,73,6,13,7,54,68,86,74,57,85,88,92,65,56,73,57,64,59,94,74
Rafinha,23,WG,76,44,79,77,85,69,87,69,11,6,7,55,68,74,79,47,77,76,86,75,66,74,74,68,66,80,69
Andre Gomes,23,CM,72,81,68,64,85,61,86,68,12,9,8,69,76,85,73,65,77,82,88,80,64,66,77,77,85,83,63
Luis Suarez,29,FW,88,78,86,60,91,77,86,94,27,25,37,77,41,64,86,30,92,93,83,87,38,77,45,89,76,84,88
Lionel Messi,29,FW,92,48,90,95,95,77,97,95,6,11,8,71,22,87,88,13,93,95,88,83,26,87,28,74,59,90,85
Neymar,24,FW,93,56,96,82,95,75,96,89,9,9,11,62,36,75,77,21,90,88,81,78,33,90,24,70,49,80,83
Paco Alcacer,23,FW,74,59,76,78,81,53,72,84,12,14,5,78,26,51,68,26,87,86,72,83,26,73,21,66,63,63,85
Marc Cardona,21,FW,76,27,61,57,64,32,57,66,8,13,8,63,24,50,64,14,66,60,57,71,12,71,17,55,56,57,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
