Player Name,Age,Position,Acceleration,Aggression,Agility,Balance,Ball Control,Crossing,Dribbling,Finishing,GK Diving,GK Handling,GK Reflexes,Heading Accuracy,Interceptions,Long Passing,Long Shots,Marking,Positioning,Reactions,Short Passing,Shotpower,Sliding Tackle,Sprint Speed,Standing Tackle,Stamina,Strength,Vision,Volleys
Gianluigi Buffon,39,GK,49,38,55,49,28,13,26,15,87,88,84,13,28,35,13,10,12,80,37,39,11,43,11,39,69,50,17
Neto,27,GK,53,40,59,49,24,11,19,15,84,80,83,14,15,36,19,19,11,74,36,28,15,49,14,39,63,40,12
Emil Audero,20,GK,55,24,53,51,18,13,19,16,72,64,76,19,11,19,19,8,9,51,29,23,10,49,10,25,55,30,18
Giorgio Chiellini,32,CB,69,90,61,69,55,56,56,33,3,3,3,80,88,55,49,92,28,78,55,78,90,78,92,69,91,50,45
Medhi Benatia,30,CB,64,84,58,54,66,45,57,49,7,4,11,85,78,62,24,84,39,81,66,59,84,70,85,69,86,47,31
Alex Sandro,26,FB,84,70,79,76,81,86,82,57,7,7,5,68,82,69,68,76,72,80,77,76,82,90,82,91,71,70,66
Andrea Barzagli,35,CB,69,74,60,64,65,40,60,27,4,2,4,76,92,65,39,90,28,82,65,54,90,79,90,66,87,58,35
Leonardo Bonucci,29,CB,64,82,60,54,75,44,68,37,2,2,4,84,90,83,65,84,38,84,75,74,88,74,88,73,85,74,55
Patrice Evra,35,FB,79,82,79,87,75,82,74,33,3,5,3,80,86,69,63,82,68,78,75,72,86,75,82,69,69,62,53
Dani Alves,33,FB,84,85,81,80,85,80,81,60,5,11,7,71,83,76,77,70,63,82,80,87,86,89,83,78,57,67,68
Daniele Rugani,22,CB,61,66,62,55,65,40,60,33,5,10,5,76,84,59,39,84,29,74,59,58,82,65,84,69,76,50,35
Stephan Lichtsteiner,33,FB,78,84,75,77,75,82,76,45,4,3,2,72,82,71,71,76,68,80,77,74,82,84,82,88,75,62,62
Miralem Pjanic,27,CM,74,62,78,78,89,80,83,70,7,7,8,60,68,85,84,58,76,84,89,79,64,74,68,79,65,88,71
Sami Khedira,30,CM,64,82,58,55,79,72,78,70,11,9,8,76,86,79,80,76,80,86,83,84,78,68,86,79,91,80,76
Claudio Marchisio,31,CM,77,78,81,76,85,76,82,65,4,3,4,68,82,85,82,72,82,86,87,82,78,77,78,82,72,84,76
Federico Mattiello,21,WG,79,66,75,73,73,72,70,42,7,5,5,68,60,63,76,68,60,60,69,76,76,79,76,79,69,60,69
Mario Lemina,23,CM,79,78,79,79,81,72,78,55,12,9,16,56,70,77,78,60,72,74,81,78,66,79,66,79,79,76,68
Kwadwo Asamoah,28,WG,80,70,82,82,81,76,84,65,5,4,5,56,76,77,82,68,76,78,79,84,74,80,74,85,73,76,76
Stefano Sturaro,24,CM,75,84,75,76,77,68,76,57,15,10,11,56,76,75,78,72,72,70,77,78,78,75,78,89,73,72,74
Tomas Rincon,29,CM,75,81,72,80,76,69,71,58,12,12,12,59,75,78,70,74,65,74,79,77,75,69,78,83,72,73,60
Juan Cuadrado,28,WG,91,68,91,79,85,76,90,71,5,5,9,58,54,70,80,48,76,76,77,82,57,93,45,81,61,66,73
Gonzalo Higuain,29,FW,78,50,74,60,85,68,84,91,5,12,10,80,20,58,82,12,92,86,72,85,18,82,22,73,85,70,86
Mario Mandzukic,30,FW,68,88,60,54,77,56,73,85,10,8,15,90,40,41,57,28,89,86,71,78,48,72,40,79,87,62,85
Marko Pjaca,21,WG,85,50,83,75,87,76,86,61,11,5,12,68,30,71,72,16,60,66,77,76,24,85,26,75,75,68,72
Paulo Dybala,23,FW,91,48,91,85,91,78,90,89,5,4,8,64,24,58,86,14,85,82,78,80,20,85,20,81,65,79,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
