Player Name,Age,Position,Acceleration,Aggression,Agility,Balance,Ball Control,Crossing,Dribbling,Finishing,GK Diving,GK Handling,GK Reflexes,Heading Accuracy,Interceptions,Long Passing,Long Shots,Marking,Positioning,Reactions,Short Passing,Shotpower,Sliding Tackle,Sprint Speed,Standing Tackle,Stamina,Strength,Vision,Volleys
Keylor Navas,30,GK,61,32,70,60,19,11,16,15,87,82,85,11,20,37,13,12,16,82,30,21,14,52,14,41,65,54,11
Kiko Casilla,30,GK,32,45,43,58,20,24,12,14,73,83,77,13,20,24,13,12,12,74,30,24,11,49,15,43,79,52,23
Ruben Yanez,23,GK,44,20,51,28,14,15,16,13,66,64,69,20,19,22,17,20,18,66,27,25,13,43,14,38,68,30,19
Dani Carvajal,25,FB,78,81,82,79,83,81,76,41,13,13,15,63,82,71,36,84,61,81,79,64,85,85,83,84,75,57,34
Pepe,34,CB,65,94,63,49,58,46,58,46,8,15,10,82,88,61,56,88,40,84,67,63,90,75,89,64,84,48,23
Sergio Ramos,30,CB,77,84,80,60,83,66,61,60,11,8,11,86,88,70,55,85,52,82,76,79,90,78,89,84,81,63,66
Raphael Varane,23,CB,76,73,58,47,75,36,57,40,11,11,14,83,85,74,53,84,44,79,72,52,85,78,86,70,84,56,42
Nacho,27,CB,74,72,56,67,68,70,55,22,12,7,7,75,79,61,28,76,37,72,70,54,81,72,80,73,77,53,28
Marcelo,28,FB,77,84,77,82,87,87,83,67,12,5,9,70,83,76,66,80,69,85,81,83,87,80,84,82,77,75,54
Fabio Coentrao,29,FB,77,82,70,76,78,77,81,65,7,13,14,71,80,69,66,77,70,82,75,69,82,76,77,77,64,69,64
Danilo,25,FB,77,74,75,66,79,74,73,61,14,5,5,68,81,69,72,75,75,79,78,85,82,82,81,83,79,62,72
Abner,20,CB,59,71,66,58,63,25,40,21,4,7,8,64,71,59,33,67,36,63,60,46,73,69,72,65,70,36,20
Toni Kroos,27,CM,55,60,70,62,85,84,78,75,10,11,10,54,77,93,88,63,76,85,89,87,65,37,75,78,74,88,82
James Rodriguez,25,CM,77,65,82,73,85,88,87,82,15,15,14,62,55,80,91,25,83,84,84,86,30,75,42,68,70,88,91
Casemiro,25,CM,59,87,66,57,78,52,69,59,13,14,12,74,84,80,75,72,66,78,81,86,81,62,86,85,82,68,53
Mateo Kovacic,22,CM,84,71,77,70,87,75,88,58,9,5,7,42,48,76,74,41,67,68,87,79,55,76,59,71,59,88,76
Luka Modric,31,CM,77,62,93,94,92,78,86,71,13,9,9,55,76,83,82,66,79,88,92,73,73,71,80,83,58,90,74
Marco Asensio,21,CM,76,45,77,76,85,81,82,68,13,9,10,47,41,80,78,30,70,78,86,67,39,68,43,74,62,83,76
Isco,24,CM,76,58,83,82,89,72,87,76,10,8,6,55,48,77,80,25,77,78,84,72,37,69,43,69,59,84,64
Cristiano Ronaldo,32,WG,91,63,90,63,92,84,93,93,7,11,11,87,29,72,92,22,94,96,82,94,23,92,31,92,80,85,88
Karim Benzema,29,FW,79,65,77,60,87,75,83,88,13,11,7,78,22,47,78,13,87,83,86,83,12,82,15,74,78,85,79
Gareth Bale,27,WG,93,65,77,65,88,87,89,87,15,15,6,82,59,80,90,51,86,87,86,91,52,95,55,78,80,79,76
Lucas Vazquez,25,WG,85,54,77,79,79,83,81,69,9,16,7,51,44,72,74,23,80,85,74,78,37,78,51,88,56,81,54
Mariano Diaz,23,FW,78,60,80,72,64,45,63,70,12,14,15,69,21,32,73,30,71,64,57,81,28,77,31,67,71,58,66
Alvaro Morata,24,FW,79,54,59,56,83,73,82,81,4,5,5,75,24,51,74,14,83,80,74,78,20,86,14,68,82,76,80
